광고그룹,키워드,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)"
마케팅 유치원,마케팅강의,"2,865",29,1.01,869,"25,025"
올인원 패키지 : 1인 쇼핑몰 시작하기_02.쇼핑몰구축,쇼핑몰통합관리,"1,288",6,0.47,"4,094","24,563"
올인원 패키지 : 투자_파워콘텐츠,펀드하는법,"3,026",248,8.21,99,"24,552"
7. 운영체제,운영체제,"155,516",28,0.02,887,"24,486"
실전 웹/앱 프로젝트 기획,상세페이지제작,"1,942",30,1.54,813,"24,376"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,카드뉴스템플릿,"15,796",46,0.29,529,"24,112"
AOP 전체_중복키워드_마케팅,카드뉴스만들기,"12,239",23,0.19,"1,051","23,969"
ㅍ올인원 패키지 : UX/UI 디자인 입문_연관검색어(삭제),UI,"91,405",22,0.02,"1,106","23,892"
ㅍAOP 전체_중복키워드_마케팅(삭제),마케팅전략,"8,965",7,0.08,"3,282","23,628"
2_투자유치를 위한 사업계획서 작성(투자유치),사업계획서,"61,370",14,0.02,"1,626","23,408"
올인원 패키지 : 영상 제작/편집_10.패캠강의,동영상강의,"13,993",12,0.09,"1,942","23,309"
올인원 패키지 : 1인 쇼핑몰_00.창업_MO,남자쇼핑몰,"12,463",34,0.27,691,"23,221"
올인원 패키지 : 금융공학/퀀트_01.파이썬기본&자동화,데이터분석,"1,300",5,0.37,"4,813","23,100"
올인원 패키지 : 콘텐츠 마케팅_영상바이럴,SNS영상,"3,479",13,0.38,"1,712","22,594"
왕초보의 파이썬 웹 프로그래밍 CAMP,파이썬자격증,"1,121",6,0.54,"3,746","22,473"
ㅍAOP 전체_중복키워드_마케팅(삭제),구글애널리틱스,"9,681",17,0.17,"1,330","22,352"
올인원 패키지 : 데이터 분석 입문 온라인_파콘,빅데이터전문가,"5,440",40,0.73,552,"21,868"
올인원 패키지 : 1인 쇼핑몰 시작하기_01.플랫폼,오픈마켓창업,"1,180",10,0.81,"2,241","21,516"
#000_마케팅 전체_main,SNS마케팅,"222,896",25,0.01,850,"21,417"
AOP 전체_중복키워드_비지니스,엑셀강좌,"9,511",10,0.10,"2,215","21,263"
다빈치리졸브와 컬러그레이딩,다빈치리졸브,"19,139",50,0.26,418,"21,076"
올인원 패키지 : 업무자동화_3. 엑셀,엑셀프로그램,"52,098",23,0.04,921,"20,999"
파이썬을 통한 금융 데이터 수집과 분석 자동화 16기,투자분석,"2,595",5,0.18,"4,329","20,779"
실전 웹 UX/UI 디자인,반응형홈페이지,"1,268",23,1.80,911,"20,779"
올인원 패키지 : 1인 쇼핑몰 시작하기_06.해외쇼핑몰,구매대행쇼핑몰,"2,223",22,0.97,960,"20,746"
올인원 패키지 : 금융공학/퀀_03.금융공학,금융상품,"21,441",12,0.06,"1,726","20,713"
고객의 마음을 읽는 구글애널리틱스,GAIQ,"4,652",42,0.90,491,"20,636"
PYTHON & DJANGO를 활용한  웹 서비스 개발,장고,"28,291",25,0.09,815,"20,537"
1. 전체,책디자인,"1,513",13,0.87,"1,552","20,482"
1. 코딩,코딩배우기,"3,638",8,0.23,"2,434","20,449"
인디자인 유치원,독립출판사,"1,926",41,2.12,501,"20,427"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,MCN회사,"18,762",54,0.29,373,"20,152"
올인원 패키지 : 영상 제작/편집_7.에프터이펙트,유튜브스튜디오,"3,250",35,1.07,578,"20,119"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,비디오커머스,"5,502",18,0.33,"1,114","20,053"
파이썬 텍스트 마이닝,소프트웨어,"188,124",18,0.01,"1,114","20,053"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,1인크리에이터,"8,453",18,0.21,"1,111","19,998"
실전 웹 UX/UI 디자인,UXUI디자인,"1,594",25,1.58,794,"19,998"
#000_마케팅 전체_main,페이스북마케팅,"3,975",12,0.30,"1,659","19,910"
AOP 전체_중복키워드_마케팅,CRM,"12,531",5,0.04,"4,081","19,591"
1. 코딩,코딩기초,"1,318",7,0.55,"2,706","19,481"
올인원 패키지 : 투자_파워콘텐츠,채권투자,"3,417",136,3.97,143,"19,393"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,온라인홍보,"10,179",8,0.08,"2,306","19,371"
data_camp_pcda_3,점프투파이썬,"10,307",25,0.24,764,"19,250"
ㅍAOP 전체_중복키워드_디자인(삭제),UXUI,"3,627",12,0.33,"1,603","19,239"
인디자인 유치원,책만들기,"5,492",28,0.50,696,"19,206"
5_초기 스타트업 실제 투자사례(창업자),투자유치,"9,312",7,0.08,"2,635","18,975"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,미디어커머스,"7,752",13,0.17,"1,420","18,744"
1. 모바일앱개발_세부,어플만드는법,"1,009",8,0.83,"2,224","18,678"
고객의 마음을 읽는 구글애널리틱스,GOOGLEANALYTICS,"4,021",23,0.57,815,"18,579"
#000_마케팅 전체_main,SNS마케팅교육,"1,351",22,1.60,850,"18,370"
Python & Django를 활용한 웹 서비스_일반,AJAX,"42,159",20,0.05,881,"17,974"
올인원 패키지 : 업무자동화_3. 엑셀,EXCEL,"66,397",14,0.02,"1,246","17,941"
ㅍAOP 전체_중복키워드_비지니스(삭제),엑셀강의,"4,313",12,0.28,"1,480","17,754"
001.데이터분석/ 통계,DATASCIENCE,"1,411",34,2.38,525,"17,655"
#000_마케팅 전체_main,온라인마케팅,"8,336",20,0.24,863,"17,600"
8. 시스템 프로그래밍,유닉스,"230,365",38,0.02,457,"17,534"
블록체인 신사업 시작하기,BLOCKCHAIN,"2,807",13,0.47,"1,321","17,435"
디지털 마케팅 스쿨 13기_대표키워드,마케팅취업,"1,599",14,0.90,"1,209","17,413"
파이썬을 통한 금융 데이터 수집과 분석 자동화 16기,웹크롤링,"4,487",24,0.53,720,"17,281"
타이포그래피와 편집디자인,서체,"17,775",47,0.26,364,"17,028"
2. 프로그래밍,프로그래밍언어,"38,001",8,0.02,"2,011","16,896"
올인원 패키지 : 1인 쇼핑몰 시작하기_00.창업_PC,쇼핑몰구축,"1,823",4,0.20,"4,657","16,764"
올인원 패키지 : 콘텐츠 마케팅_영상바이럴,유튜브영상제작,"1,761",7,0.41,"2,327","16,753"
8. 시스템 프로그래밍,우분투,"104,470",30,0.03,558,"16,753"
인스타그램 마케팅,인스타마케팅,"1,512",13,0.87,"1,266","16,709"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,네이티브광고,"2,154",7,0.33,"2,316","16,676"
ㅍAOP 전체_중복키워드_마케팅(삭제),구글광고,"19,506",11,0.06,"1,540","16,632"
AOP 전체_중복키워드_마케팅,바이럴영상,"4,104",4,0.09,"4,589","16,522"
LaTeX를 활용한 효율적 논문작성 Workshop,LATEX,"7,024",25,0.36,654,"16,489"
올인원 패키지 : 콘텐츠 마케팅_영상바이럴,영상콘텐츠,"2,855",13,0.46,"1,245","16,434"
올인원 패키지 : 그로스해킹_1.용어,대시보드,"38,600",11,0.03,"1,520","16,412"
005.머신러닝,캐글,"3,228",19,0.59,842,"16,170"
ㅍAOP 전체_중복키워드_마케팅(삭제),CRM,"3,541",5,0.14,"3,332","15,994"
AOP 전체_중복키워드_디자인,그래픽디자이너,"9,345",2,0.03,"6,614","15,873"
#000_마케팅 전체_main,페이스북광고,"6,994",10,0.14,"1,653","15,873"
올인원 패키지 : 영상 제작/편집_5.일러스트,유튜브썸네일,"9,003",19,0.21,826,"15,862"
data_camp_pcda_3,파이썬데이터분석,"1,119",26,2.36,597,"15,763"
1. 전체,영상편집교육,"3,923",7,0.18,"2,160","15,554"
ㅍAOP 전체_중복키워드_마케팅(삭제),마케팅,"32,960",14,0.04,"1,077","15,510"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,영상학원,"1,212",31,2.57,494,"15,411"
타이포그래피와 편집디자인,손글씨폰트,"14,905",40,0.27,388,"15,356"
ㅍAOP 전체_중복키워드_마케팅(삭제),브랜드마케팅,"3,488",5,0.14,"3,158","15,158"
올인원 패키지 : 프로그래밍 첫걸음 시작하기,컴퓨터자격증,"2,633",64,2.42,237,"15,092"
왕초보의 파이썬 웹 프로그래밍 CAMP,웹서버,"1,633",4,0.22,"4,183","15,059"
ㅍAOP 전체_중복키워드_마케팅(삭제),그로스해킹,"3,375",18,0.53,826,"14,861"
파이썬을 통한 금융 데이터 수집과 분석 자동화 16기,데이터수집,"1,352",6,0.44,"2,446","14,674"
001.데이터분석/ 통계,엑셀데이터분석,"2,738",14,0.53,"1,017","14,641"
파이썬을 통한 금융 데이터 수집과 분석 자동화 16기,EDA,"2,836",6,0.21,"2,413","14,476"
내 아이템에 맞는 영상 콘텐츠 기획/제작,동영상편집,"3,529",8,0.24,"1,723","14,476"
구글 광고,검색광고,"3,540",8,0.24,"1,721","14,454"
고객의 마음을 읽는 구글애널리틱스,마케팅분석,"1,288",6,0.47,"2,398","14,388"
올인원 패키지 : 영상 제작/편집_1.크리에이터,유튜브채널,"224,102",65,0.03,220,"14,278"
올인원 패키지 : 업무자동화_VBA,컴활인강,"8,373",78,0.93,183,"14,267"
ㅍ올인원 패키지 : UX/UI 디자인 입문_연관검색어(삭제),UX디자인,"2,164",5,0.22,"2,943","14,124"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,인스타그램홍보,"19,627",10,0.05,"1,466","14,069"
인스타그램 마케팅,인스타그램좋아요늘리기,"3,506",23,0.65,614,"13,992"
AOP 전체_중복키워드_마케팅,마케팅전략,"20,582",5,0.02,"2,910","13,970"
ㅍAOP 전체_중복키워드_마케팅(삭제),카드뉴스제작,"1,320",8,0.64,"1,626","13,662"
올인원 패키지 : 데이터 분석 입문 온라인_파콘,빅데이터분석,"2,000",66,3.30,207,"13,640"
올인원 패키지 : 영상 제작/편집_3.촬영 기법/장비1,영상촬영장비,"50,250",19,0.04,705,"13,530"
ㅍ올인원 패키지 : 브랜딩,브랜딩디자인,"1,134",13,1.16,"1,018","13,431"
올인원 패키지 : 데이터 분석 입문 온라인_파콘,빅데이터분석가,"1,695",26,1.56,507,"13,376"
ㅍAOP 전체_중복키워드_비지니스(삭제),엑셀VBA,"6,749",13,0.20,"1,008","13,299"
올인원 패키지 : 콘텐츠 마케팅_영상바이럴,동영상광고,"23,698",7,0.03,"1,844","13,277"
딥러닝으로 배우는 병렬처리 CAMP_구버전,DEEPLEARNING,"1,411",7,0.51,"1,829","13,167"
ㅍAOP 전체_중복키워드_마케팅(삭제),카드뉴스만들기,"5,230",12,0.23,"1,095","13,145"
올인원 패키지 : 디지털 마케팅_3. 구글 광고,구글광고,"23,106",7,0.03,"1,824","13,134"
올인원 패키지 : 콘텐츠 마케팅_카피라이팅,콘텐츠기획,"8,195",7,0.09,"1,821","13,112"
내 아이템에 맞는 영상 콘텐츠 기획/제작,유튜브광고,"13,313",10,0.07,"1,353","12,991"
건강한 조직을 만드는 HR 전략 WORKSHOP,노무관리,"3,519",2,0.07,"5,358","12,859"
올인원 패키지 : 업무자동화_VBA,컴활1급인강,"4,883",60,1.23,213,"12,771"
타이포그래피와 편집디자인,판화,"27,843",32,0.12,390,"12,628"
올인원 패키지 : UX/UI 디자인 입문_연관검색어,UI,"69,373",12,0.02,"1,044","12,529"
올인원 패키지 : 디지털 마케팅_1. 디지털 마케팅,SNS마케팅,"90,988",10,0.01,"1,303","12,507"
ㅍ1. 전체,어도비일러스트레이터,"12,313",8,0.07,"1,488","12,496"
올인원 패키지 : 영상 제작/편집_3.촬영 기법/장비1,유튜브조명,"8,575",18,0.21,688,"12,375"
001.데이터분석/ 통계,데이터분석자격증,"1,737",11,0.62,"1,138","12,287"
포토샵 유치원_일러스트레이터 유치원,디자이너,"80,233",14,0.02,853,"12,276"
왕초보의 파이썬 웹 프로그래밍 CAMP,장고,"25,265",19,0.08,639,"12,276"
6.  컴퓨터구조,컴퓨터구조,"15,092",26,0.17,465,"12,265"
TensorFlow로 시작하는 딥러닝 입문,TENSORFLOW,"6,871",13,0.19,919,"12,133"
올인원 패키지 : 1인 쇼핑몰 시작하기_06.해외쇼핑몰,구매대행업체,"2,404",12,0.50,"1,005","12,056"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,포토샵기초,"2,483",80,3.24,148,"11,924"
딥러닝으로 배우는 병렬처리 CAMP_구버전,딥러닝,"8,255",5,0.06,"2,464","11,825"
인스타그램 마케팅,인플루언서마케팅,"1,243",10,0.77,"1,225","11,759"
5. javascript,JAVASCRIPT,"11,570",6,0.05,"1,954","11,726"
003.파이썬,크롤링,"6,270",10,0.15,"1,219","11,704"
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵교육,"2,207",4,0.16,"3,245","11,682"
AOP 전체_중복키워드_디자인,GTQ포토샵2급,"4,219",10,0.23,"1,200","11,517"
ㅍAOP 전체_중복키워드_디자인(삭제),어도비포토샵,"24,212",7,0.03,"1,595","11,484"
fin_camp_modeling_15,자금조달,"10,689",4,0.03,"3,178","11,440"
올인원 패키지 : 업무자동화_VBA,컴활학원,"5,027",42,0.84,269,"11,308"
왕초보의 파이썬 웹 프로그래밍 CAMP,점프투파이썬,"1,446",16,1.08,722,"11,264"
1. 모바일앱개발_교육,안드로이드앱개발,"2,208",2,0.11,"4,680","11,231"
AOP 전체_중복키워드_마케팅,콘텐츠마케팅,"3,262",6,0.18,"1,855","11,132"
올인원 패키지 : 투자_파워콘텐츠,-,"11,073",37,0.34,298,"11,077"
올인원 패키지 : 1인 쇼핑몰 시작하기_02.쇼핑몰구축,쇼핑몰상세페이지,"1,647",6,0.36,"1,839","11,033"
올인원 패키지 : 업무자동화_VBA,컴퓨터활용능력1급인강,"3,826",48,1.25,229,"10,978"
올인원 패키지 : 1인 쇼핑몰 시작하기_02.쇼핑몰구축,쇼핑몰상세페이지제작,"1,023",8,0.82,"1,295","10,879"
Apache Spark,스파크,"62,161",12,0.02,906,"10,868"
올인원 패키지 : 브랜딩,브랜드디자인,"9,266",4,0.04,"3,010","10,835"
#000_마케팅 전체_main,온라인광고대행,"2,047",12,0.59,902,"10,824"
ㅍAOP 전체_중복키워드_마케팅(삭제),로그분석,"5,397",4,0.07,"2,998","10,791"
AOP 전체_중복키워드_마케팅,그로스해킹,"1,362",10,0.70,"1,118","10,736"
올인원 패키지 : 금융공학/퀀_03.금융공학,데이터시각화,"2,660",2,0.09,"4,460","10,703"
1. 전체,북디자인,"4,591",5,0.10,"2,230","10,703"
올인원 패키지 : 1인 쇼핑몰 시작하기_00.창업_PC,남자인터넷쇼핑몰,"1,478",20,1.38,524,"10,692"
올인원 패키지 : 투자_파워콘텐츠,주식투자하는법,"3,049",120,3.94,89,"10,648"
올인원 패키지 : 금융공학/퀀_02.R활용금융데이터분석,R프로그램,"5,367",6,0.11,"1,756","10,538"
#000_마케팅 전체_main,온라인광고,"3,312",12,0.36,875,"10,505"
올인원 패키지 : 영상 제작/편집_2.영상제작이론,영상소스,"3,801",13,0.35,788,"10,406"
프로그래밍 유치원,프로그래밍언어,"20,511",2,0.01,"4,308","10,340"
#000_마케팅 전체_main,SNS홍보,"63,339",13,0.02,782,"10,318"
#000_마케팅 전체_main,SNS교육,"1,007",13,1.31,777,"10,252"
#000_마케팅 전체_main,제휴마케팅,"3,608",13,0.37,774,"10,219"
올인원 패키지 : 금융공학/퀀_03.금융공학,차익거래,"13,921",29,0.21,352,"10,142"
1. 모바일앱개발_교육,안드로이드어플만들기,"1,003",4,0.36,"2,790","10,043"
마케터를 위한 데이터 해석 실전,CPC,"8,149",6,0.07,"1,672","10,032"
2. C언어 일반,C언어책,"6,685",18,0.27,557,"10,021"
올인원 패키지 : 1인 쇼핑몰 시작하기_00.창업_PC,온라인쇼핑몰오픈,"1,279",14,1.13,694,"9,988"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,마케팅공부,"1,813",10,0.53,"1,035","9,933"
올인원 패키지 : 영상 제작/편집_9.유튜브/유튜버,유튜브시작,"64,727",38,0.06,254,"9,746"
실전 웹/앱 프로젝트 기획,앱기획,"1,314",13,1.00,737,"9,724"
1. 전체,일러스트레이션,"7,130",2,0.03,"4,038","9,691"
LaTeX를 활용한 효율적 논문작성 Workshop,TEX,"5,738",19,0.33,505,"9,691"
모바일 앱 UX/UI 디자인,앱디자인,"1,071",11,1.01,848,"9,163"
Python & Django를 활용한 웹 서비스_개발자,플라스크,"12,793",8,0.07,"1,090","9,152"
파이썬을 통한 금융 데이터 수집과 분석 자동화 16기,파이썬스터디,"1,046",6,0.57,"1,505","9,031"
마케팅KPI수립,KPI,"51,545",8,0.02,"1,062","8,921"
7. 운영체제,임베디드시스템,"5,977",4,0.06,"2,472","8,899"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,인스타관리,"5,090",10,0.19,927,"8,899"
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵노트북,"7,255",10,0.13,926,"8,888"
파이썬 텍스트 마이닝,파이썬,"28,442",8,0.03,"1,054","8,855"
001.BASIC DESIGN,어도비XD,"7,926",24,0.30,369,"8,844"
올인원 패키지 : 업무자동화_4. VBA,VBA강좌,"1,656",11,0.65,817,"8,822"
002.마케팅 입문,네이버교육,"5,157",24,0.47,363,"8,712"
AOP 전체_중복키워드_디자인,제플린,"30,696",26,0.09,329,"8,679"
2. 프로그래밍,프로그래밍입문,"1,273",4,0.28,"2,380","8,569"
올인원 패키지 : 1인 쇼핑몰 시작하기_01.플랫폼,독립형쇼핑몰,"4,343",2,0.06,"3,529","8,470"
올인원 패키지 : 1인 쇼핑몰 시작하기_02.쇼핑몰구축,쇼핑몰택배,"4,200",10,0.23,881,"8,459"
올인원 패키지 : 영상 제작/편집_9.유튜브/유튜버,유튜버되는법,"3,785",4,0.10,"2,322","8,360"
002.마케팅 입문,B2B마케팅,"1,573",10,0.61,867,"8,327"
#000_마케팅 전체_main,홍보마케팅,"3,945",5,0.12,"1,733","8,316"
올인원 패키지 : 영상 제작/편집_8.파이널컷 프로,유튜브인트로,"2,509",16,0.62,532,"8,294"
올인원 패키지 : 투자_파워콘텐츠,주식사는법,"2,451",72,2.94,115,"8,250"
1. 앱웹서비스기획_일반,PM,"68,532",16,0.02,528,"8,239"
프로그래밍 전체,IOS,"417,011",48,0.01,171,"8,228"
상업용 부동산 실무 입문 4기,중개법인,"14,912",18,0.12,447,"8,041"
올인원 패키지 : 업무자동화_VBA,컴퓨터활용능력인강,"2,367",35,1.47,228,"7,920"
내 아이템에 맞는 영상 콘텐츠 기획/제작,동영상만들기,"2,565",5,0.19,"1,611","7,733"
대기업을 이기는 브랜딩 전략,컨설팅회사,"9,955",5,0.05,"1,609","7,722"
리눅스 인프라,노바,"69,650",20,0.03,377,"7,700"
OpenCV와 함께하는 컴퓨터 비전 프로그래밍,OPENCV,"5,533",19,0.35,397,"7,623"
1. 모바일앱개발_교육,안드로이드앱,"5,553",2,0.04,"3,135","7,524"
1. 코딩,코딩책,"3,656",8,0.23,889,"7,469"
서비스 기획 스쿨 5기_구글 연관검색어,서비스기획,"2,037",10,0.47,777,"7,458"
1. 모바일앱개발_교육,안드로이드스튜디오,"10,871",17,0.15,436,"7,326"
올인원 패키지 : 콘텐츠 마케팅_카피라이팅,상품페이지,"1,708",8,0.49,868,"7,293"
올인원 패키지 : 금융공학/퀀트_00.일반,퀀트,"27,470",40,0.14,184,"7,293"
상업용 부동산 실무 입문 4기,상업용부동산,"3,759",8,0.22,864,"7,260"
001.데이터분석/ 통계,데이터과학자,"1,220",13,1.08,546,"7,205"
내 아이템에 맞는 영상 콘텐츠 기획/제작,영상편집프로그램,"3,357",5,0.14,"1,499","7,194"
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵기초,"3,556",4,0.10,"1,995","7,183"
ㅍ1. 전체,영상편집교육,"1,785",4,0.20,"1,992","7,172"
올인원 패키지 : 리더를 위한 HR/인재경영_2.리더십,조직관리,"18,439",5,0.03,"1,494","7,172"
올인원 패키지 : 영상 제작/편집_1.크리에이터,1인크리에이터,"2,803",6,0.21,"1,188","7,128"
파이썬 텍스트 마이닝,텍스트마이닝,"1,471",6,0.41,"1,170","7,018"
001.BASIC DESIGN,벽화알바,"1,394",20,1.46,336,"6,864"
AOP 전체_중복키워드_마케팅,CRM마케팅,"1,412",2,0.17,"2,855","6,853"
data_camp_pcda_3,파이썬다운로드,"5,568",18,0.32,380,"6,842"
4_벤처캐피탈 투자계약(벤처 투자),벤처투자,"3,539",2,0.07,"2,828","6,787"
AOP 전체_중복키워드_디자인,포토샵CC,"29,269",7,0.02,929,"6,688"
실전 웹 UX/UI 디자인,사이트제작,"1,568",7,0.46,917,"6,600"
1. 일반_PC,게임캐릭터만들기,"1,148",1,0.10,"5,445","6,534"
프로그래밍 전체,안드로이드,"603,990",43,0.01,151,"6,523"
AOP 전체_중복키워드_디자인,포토샵CS6,"42,712",7,0.02,897,"6,457"
타이포그래피와 편집디자인,캘리,"72,480",23,0.03,277,"6,325"
올인원 패키지 : 디지털 마케팅_3. 구글 광고,구글검색광고,"6,117",4,0.06,"1,751","6,303"
#000_마케팅 전체_main,CPA,"25,716",7,0.03,866,"6,237"
올인원 패키지 : 콘텐츠 마케팅_카피라이팅,상세페이지만들기,"1,653",6,0.36,"1,038","6,226"
ㅍAOP 전체_중복키워드_마케팅(삭제),바이럴영상,"2,102",2,0.11,"2,585","6,204"
#000_마케팅 전체_main,마케팅회사,"3,673",8,0.23,735,"6,171"
fin_camp_rdev_4,부동산디벨로퍼,"1,333",16,1.17,396,"6,171"
파이낸스 전체,펀드,"152,213",30,0.02,205,"6,160"
올인원 패키지 : 그로스해킹_1.용어,CAC,"1,524",4,0.24,"1,699","6,116"
올인원 패키지 : 콘텐츠 마케팅_카피라이팅,브랜디드콘텐츠,"4,471",14,0.32,425,"6,116"
올인원 패키지 : 업무자동화_2. 파이썬,크롤링,"10,231",5,0.05,"1,270","6,094"
typescript 실전 workshop,REACT,"16,399",8,0.05,725,"6,094"
고객의 마음을 읽는 구글애널리틱스,그로스해커,"1,883",32,1.72,184,"5,973"
올인원 패키지 : 1인 쇼핑몰 시작하기_00.창업_PC,온라인사업,"5,152",2,0.05,"2,484","5,962"
ㅍAOP 전체_중복키워드_비지니스(삭제),엑셀강좌,"14,212",4,0.03,"1,653","5,951"
1_벤처캐피탈에 대한 이해(벤처캐피탈),투자금회수,"12,194",10,0.08,616,"5,918"
비즈니스 전체,엑셀,"185,504",23,0.01,256,"5,841"
타이포그래피와 편집디자인,북커버,"24,266",16,0.06,369,"5,753"
AOP 전체_중복키워드_디자인,포토샵기초,"10,348",2,0.02,"2,374","5,698"
1_벤처캐피탈에 대한 이해(벤처캐피탈),벤처캐피탈,"7,425",16,0.21,364,"5,676"
프로그래밍 유치원,웹페이지만들기,"1,021",4,0.35,"1,574","5,665"
4. css,CSS,"37,224",10,0.03,588,"5,643"
파이썬 텍스트 마이닝,PYTHON,"13,444",4,0.03,"1,552","5,588"
AOP 전체_중복키워드_마케팅,웹로그분석,"9,515",1,0.01,"4,593","5,511"
올인원 패키지 : 콘텐츠 마케팅_카피라이팅,광고시안,"1,054",11,1.02,510,"5,511"
ㅍAOP 전체_중복키워드_디자인(삭제),제플린,"12,179",13,0.11,414,"5,467"
마케터를 위한 데이터 해석 실전,CRM마케팅,"1,986",4,0.18,"1,503","5,412"
건강한 조직을 만드는 HR 전략 WORKSHOP,조직문화개선,"3,309",6,0.18,902,"5,412"
OpenCV와 함께하는 컴퓨터 비전 프로그래밍,얼굴인식,"7,812",2,0.03,"2,241","5,379"
올인원 패키지 : 1인 쇼핑몰 시작하기_00.창업_PC,쇼핑몰사업,"1,593",5,0.30,"1,121","5,379"
1. 전체,컴퓨터그래픽디자이너,"2,411",2,0.10,"2,237","5,368"
SEO/SEM 전략,검색엔진,"2,730",4,0.13,"1,491","5,368"
002.마케팅 입문,마케팅직무,"2,084",11,0.52,493,"5,324"
올인원 패키지 : 1인 쇼핑몰 시작하기_06.해외쇼핑몰,해외직구쇼핑몰,"2,978",14,0.48,368,"5,302"
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵CS6,"24,010",7,0.03,735,"5,291"
영상 콘텐츠 디자인 유치원,AFTEREFFECT,"3,372",6,0.18,878,"5,269"
올인원 패키지 : 업무자동화_2. 파이썬,GUI,"32,179",4,0.01,"1,451","5,225"
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵CS2,"21,616",6,0.03,871,"5,225"
1. 코딩,코딩강좌,"2,550",2,0.09,"2,173","5,214"
#000_마케팅 전체_main,온라인광고대행사,"1,965",6,0.31,864,"5,181"
올인원 패키지 : 디지털 마케팅_5. 태그매니저,GTM,"4,408",8,0.19,612,"5,137"
올인원 패키지 : 업무자동화_3. 엑셀,엑셀피벗테이블,"49,755",8,0.02,610,"5,126"
1. 전체,그래픽디자인,"1,495",2,0.16,"2,127","5,104"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,미디어마케팅,"1,334",5,0.36,"1,061","5,093"
올인원 패키지 : 투자_파워콘텐츠,주식시세,"1,460",19,1.32,261,"5,016"
007.빅데이터,오픈스택,"2,195",5,0.22,"1,040","4,994"
코딩으로 여행하는 블록체인 서비스,BLOCKCHAIN,"1,565",4,0.23,"1,381","4,972"
1. 모바일앱개발_세부,안드로이드스튜디오,"12,183",8,0.07,587,"4,928"
올인원 패키지 : 업무자동화_VBA,컴퓨터활용능력학원,"2,165",18,0.83,273,"4,917"
모바일 앱 GUI 포트폴리오 디자인 LAB,부동산앱,"8,562",8,0.10,584,"4,906"
올인원 패키지 : 그로스해킹_5.마케팅 분석,무료빅데이터,"6,488",4,0.06,"1,341","4,829"
#000_마케팅 전체_main,홍보방법,"8,509",5,0.06,"1,006","4,829"
포토샵 유치원_일러스트레이터 유치원,타이포그래피,"35,737",7,0.02,663,"4,774"
Python & Django를 활용한 웹 서비스_일반,파이썬,"6,022",4,0.06,"1,311","4,719"
ㅍ올인원 패키지 : UX/UI 디자인 입문_연관검색어(삭제),GUI,"12,630",4,0.03,"1,299","4,675"
3. html,HTML강좌,"1,442",2,0.17,"1,930","4,631"
AOP 전체_중복키워드_디자인,포토샵CC2018,"4,064",6,0.15,768,"4,609"
003.파이썬,DJANGO,"2,453",7,0.29,640,"4,609"
마케터를 위한 데이터 해석 실전,퍼포먼스마케터,"1,027",8,0.82,549,"4,609"
1. 모바일앱개발_교육,IOS개발,"1,528",2,0.16,"1,911","4,587"
올인원 패키지 : 콘텐츠 마케팅_카피라이팅,쇼핑몰상세페이지,"1,070",5,0.45,940,"4,510"
AOP 전체_중복키워드_디자인,포토샵사진보정,"11,698",4,0.03,"1,250","4,499"
002.R,SQL,"5,109",6,0.12,750,"4,499"
모바일 앱 GUI 포트폴리오 디자인 LAB,서비스기획,"3,434",13,0.38,333,"4,389"
블록체인 신사업 시작하기,DAPP,"1,044",2,0.23,"1,824","4,378"
타이포그래피와 편집디자인,팜플렛제작,"1,241",11,0.87,405,"4,378"
#000_마케팅 전체_main,인스타그램마케팅,"4,038",5,0.12,908,"4,356"
AOP 전체_중복키워드_디자인,포토샵누끼,"6,914",5,0.07,908,"4,356"
#000_마케팅 전체_main,유튜브광고,"5,255",6,0.11,724,"4,345"
대기업을 이기는 브랜딩 전략,브랜드로고,"1,856",4,0.19,"1,204","4,334"
AOP 전체_중복키워드_디자인,포토샵보정,"20,213",5,0.02,903,"4,334"
AOP 전체_중복키워드_디자인,포토샵프로그램,"6,472",4,0.06,"1,195","4,301"
올인원 패키지 : 디지털 마케팅_8. 검색 마케팅,키워드광고,"2,025",5,0.24,891,"4,279"
올인원 패키지 : UX/UI 디자인 입문_연관검색어,UX,"10,110",5,0.05,891,"4,279"
007.빅데이터,DATABASE,"1,728",4,0.21,"1,186","4,268"
007.빅데이터,빅데이터자격증,"1,078",4,0.33,"1,179","4,246"
